EntityType,EntityID,EntityTitle,TargetType,TargetID,TargetTitle,SetID,Date,Created,Academic Year,URN,Borough,School Type - Education Phase,Type of School,Are they part of an academy (single/multi) or trust,Which academy/trust are they part of,Are they part of a cluster?,Which cluster are they a part of?,Does this School have a Nursery attached?,Percentage of pupils eligible for Free School Meals,Percentage of pupils eligible for pupil premium,IMD Decile,Ofsted rating,How much primary premium do they receive?,Is this School signed up to the Daily Mile?,If not signed up do they do a variant of the Daily Mile,Have they signed up for The Daily Mile Destinations?,Who is responsible for the operation of sports facilities at the school?,"Indoor facilities: Does your school have any of the following?
",Outdoor facilities: Does your school have any of the following?,Other outdoor please specify,Are their facilities open?,What facilities are open?,What facilities are not open to the public,Facility management,If facilities management is out-sourced who is the provider?,When are facilities open?,Overall facilities quality,"How are the facilities currently used outside of normal school hours?
",Who is responsible for opening and closing the facility for community use?,Other - Responsibility for opening and closing facilities,Have they been selected (term)?,Has this school opted into the Active Lives CYP Survey? ,Have they completed the survey,Does this school get involved with the School Games at Level 2?,What level of School Games mark has this school achieved? ,Has this school ever attended our Level 3 School Games events (in the past - pre 2018),Has this school ever attended Level 3 School Games (Post Sept 2018)?,Which level 3 competitions have they attended?,Has this School volunteered at the School Games or accessed DfE funding? ,Are any of their pupils involved in the YLOC?,Does this School have a Satellite Club attached?,Is this school compliant for Primary School Sport Premium? ,Why is the school non-compliant,Was the website analysed as part of the Primary School Sport Premium Mapping?,How much PESSPA do they receive?,Is this School part of Mentally Healthy Schools?,Is this school involved in any other projects?,Is this school a YST member school? ,Engagement with CPD,Part of School Sports Partnership,RAG Rating,Any other important notes,What providers do they use for sport and physical activity?
Group,943,Adswood Primary,,0,,6381,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106024,Stockport,Primary,Community school,,,,,Yes,39.70%,50.20%,2,Good,,No,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,Yes,Active Families Project|Leadership|Intervention programmes,,,,,"
y",
Group,1164,Afifah School,,0,,6382,17/12/2020 12:12,17/12/2020 12:23,2020/2021,134469,Trafford,Primary|Secondary,Other independent school,,,,,Yes,,,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,414,Ahavas Torah Boys Academy,,0,,6383,17/12/2020 12:12,17/12/2020 12:23,2020/2021,140036,Salford,Secondary,Other independent school,,,,,No,,,3,Requires Improvement,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,935,Aim Habonim,,0,,6384,17/12/2020 12:12,17/12/2020 12:23,2020/2021,135633,Salford,SEND,Other independent special school,,,,,,,,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Don?t angage",
Group,1168,Al Jamiatul Islamiyah,,0,,6385,17/12/2020 12:12,17/12/2020 12:23,2020/2021,130285,Bolton,Secondary,Other independent school,,,,,No,,,3,Inadequate,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1172,Alder Brook,,0,,6386,17/12/2020 12:12,17/12/2020 12:23,2020/2021,133678,Salford,PRU/Other,Pupil referral unit,,,,,Not applicable,66.70%,76.50%,1,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PRU Does have Provision for SEN

",
Group,541,Alder Community High School,,0,,6387,17/12/2020 12:12,17/12/2020 12:23,2020/2021,134283,Tameside,Secondary,Community school,,,,,No,16.10%,25.50%,7,Good,,No,,,Other (please specify),Main sports hall (markings for at least 3 badminton courts)|Studio (often with mirrored wall and sprung floor)|Gym/health and fitness suite|Changing rooms accessible only via the school,Artificial pitch (3G) with floodlights|Sports pitch with markings|Playing field|Changing rooms accessible only via the school,,Yes,Artificial grass pitch|Sports hall|Studio,Grass pitches|Health and fitness suite,Out-sourced (please specify provider),Interserve,Evenings|Weekend|School Holidays,,After school clubs|Sports clubs|Regular bookings (block bookings),Trusted User,,Reserve,,,,,,,,,,Yes,,,,,,,,,,,"YEAR 1 TERM 2 - NOT COMPLETED

",
Group,1264,AldridgeUTC@MediaCityUK,,0,,6388,17/12/2020 12:12,17/12/2020 12:23,2020/2021,146303,Salford,Secondary,University technical college,Yes - Multi-academy trust,Aldridge Education,,,No,45.00%,39.50%,4,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,"
",
Group,990,Aldwyn Primary School,,0,,6389,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106212,Tameside,Primary,Community school,,,,,Yes,12.90%,14.50%,5,Good,,Yes,,,Headteacher,Activity hall (multi-purpose room e.g. assembly hall),Playing field|Outdoor hard surface area e.g playground (no sport specific markings),,No,,,Managed in-house,,,"Poor- the facilities are old, inadequate and/or require significant improvement.",After school clubs,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
",Other
Group,1170,Alex Park Democratic School,,0,,6390,17/12/2020 12:12,17/12/2020 12:23,2020/2021,146337,Manchester,PRU/Other,Other independent school,,,,,No,,,2,Requires Improvement,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1275,Alexandra Nursery School,,0,,6391,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105142,Bolton,Nursery,Local authority nursery school,,,,,Yes,,,1,Outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,118,Alexandra Park Junior School,,0,,6392,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105626,Oldham,Primary,Community school,,,Yes,West Oldham (Hathershaw),No,18.10%,23.70%,1,Requires Improvement,,Yes,,Yes,Headteacher,Activity hall (multi-purpose room e.g. assembly hall),Sports pitch with markings|Playing field,,No,Grass pitches,,,,,Satisfactory - the facilities are generally sufficient to meet the needs of the schools and are fit-for-purpose. Some improvements or additions would be beneficial.,After school clubs|Breakfast clubs,Other,,,,,,,,,,,,,,,,,,Bikeability,,,,,"
",Council - Sport Development Service
Group,944,Alexandra Park Primary,,0,,6393,17/12/2020 12:12,17/12/2020 12:23,2020/2021,135746,Stockport,Primary,Community school,,,,,No,15.20%,19.40%,7,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active Families Project,,,,,"
y",
Group,1169,Al-Huda Primary School,,0,,6394,17/12/2020 12:12,17/12/2020 12:23,2020/2021,139017,Bolton,Primary,Other independent school,,,,,Yes,,,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,848,Alice Ingham Catholic Primary School,,0,,6395,17/12/2020 12:12,17/12/2020 12:23,2020/2021,144982,Rochdale,Primary,Academy sponsor led,Yes - Multi-academy trust,St Teresa of Calcutta Catholic Academy Trust,,,No,43.70%,56.40%,1,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
New PE lead",
Group,158,Alkrington Primary School,,0,,6396,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105786,Rochdale,Primary,Community school,,,,,Yes,13.80%,21.10%,9,Good,,Yes,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,6,All Hallows RC High School,,0,,6397,17/12/2020 12:12,17/12/2020 12:23,2020/2021,131512,Salford,Secondary,Voluntary aided school,,,,,No,31.60%,49.50%,4,Good,,Yes,,,,,,,Yes,Grass pitches|Sports hall,,Managed in-house,,,"Good and meets the needs of the school the facilities are of good quality, modern, well-maintained, inviting and comfortably meet the needs of the school (and community, if applicable).",,,,Term 1,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"YEAR 1 TERM 3 - NOT COMPLETED

",
Group,542,All Saints Catholic College,,0,,6398,17/12/2020 12:12,17/12/2020 12:23,2020/2021,139735,Tameside,Secondary,Academy converter,Yes - Multi-academy trust,St Anselm's Catholic Multi Academy Trust,,,No,27.20%,37.20%,4,Good,,No,,,Business Manager,Activity hall (multi-purpose room e.g. assembly hall)|Studio (often with mirrored wall and sprung floor)|Changing rooms accessible only via the school,Sports pitch with markings|Playing field|Changing rooms accessible only via the school,,Some,,Grass pitches|Sports hall,Managed in-house,,Weekend|School Holidays,,After school clubs|Sports clubs|Regular bookings (block bookings),,,Reserve,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"YEAR 1 TERM 3 - Completed

",
Group,1044,All Saint's Catholic Primary School,,0,,6399,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106347,Trafford,Primary,Voluntary aided school,,,,,Yes,6.30%,3.90%,7,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,326,All Saints Catholic Primary School Golborne,,0,,6400,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106505,Wigan,Primary,Voluntary aided school,,,,LLG,Yes,13.70%,18.80%,2,Outstanding,,Yes,,,,,,,,,,,,,,,,,Term 1,,,,,,,,,,,,,,,,,,,,,"
","Leisure Provider|Professional Sports Clubs, Trusts & Foundations|In house coach"
Group,945,All Saints CE Primary (Marple),,0,,6401,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106102,Stockport,Primary,Voluntary controlled school,,,,,No,12.70%,15.20%,9,Good,,No,Yes,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,Leadership|Intervention programmes|PE Specialist Support|Assessment Support|Be Inspired Programme,,,,,"
n",
Group,224,All Saints CE Primary (Stockport),,0,,6402,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106103,Stockport,Primary,Voluntary controlled school,,,,,Yes,37.00%,46.00%,2,Good,,Yes,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,Leadership|Intervention programmes|PE Specialist Support|Assessment Support|Be Inspired Programme,,,,,"
n",
Group,686,All Saints CE Primary School,,0,,6403,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105505,Manchester,Primary,Voluntary aided school,,,,,Yes,45.60%,53.60%,1,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
","Professional Sports Clubs, Trusts & Foundations|Private Coaching Company"
Group,159,All Saints Church of England Primary School,,0,,6404,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105829,Rochdale,Primary,Voluntary aided school,,,,,Yes,24.20%,31.10%,2,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"year 1 term 2  - not completed
",
Group,46,All Saints Church of England Primary School  Stand,,0,,6405,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105325,Bury,Primary,Voluntary controlled school,,,,,Yes,15.00%,23.20%,1,Good,,Yes,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,Bikeability|Fuel & MOve,,,,,"Year 1 Term 2 - Completed
",Council - Sport Development Service
Group,12,All Saints CofE Primary School,,0,,6406,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105238,Bolton,Primary,Voluntary aided school,,,,,Yes,21.00%,23.30%,1,Good,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bikeability,,,,,"
",SSP Offer
Group,687,All Saints Primary School,,0,,6407,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105480,Manchester,Primary,Community school,,,,,Yes,45.30%,56.90%,1,Good,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Change4Life|Healthy Schools|Change4Life,,,,,"
",Private Coaching Company
Group,160,All Souls CE Primary School,,0,,6408,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105811,Rochdale,Primary,Voluntary controlled school,,,,,Yes,12.20%,12.90%,4,Outstanding,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
Fully engaged",
Group,688,Alma Park Primary School,,0,,6409,17/12/2020 12:12,17/12/2020 12:23,2020/2021,105389,Manchester,Primary,Community school,,,,,Yes,17.60%,21.60%,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
",
Group,796,Alt Academy,,0,,6410,17/12/2020 12:12,17/12/2020 12:23,2020/2021,141333,Oldham,Primary,Academy sponsor led,Yes - Multi-academy trust,The Harmony Trust,Yes,West Oldham (Hathershaw),Yes,37.90%,47.70%,1,Good,,No,,,,,,,,,,,,,,,,,Reserve,,,,,,,,,,,,,,,,Bikeability,,,,,"
",
Group,1045,Altrincham CofE (Aided) Primary School,,0,,6411,17/12/2020 12:12,17/12/2020 12:23,2020/2021,106341,Trafford,Primary,Voluntary aided school,,,,Wellington,Yes,6.20%,5.40%,9,Requires Improvement,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"year 1 term 2 - not completed

",Other
Group,553,Altrincham College of the Arts,,0,,6412,17/12/2020 12:12,17/12/2020 12:23,2020/2021,138614,Trafford,Secondary,Academy converter,Yes - Multi-academy trust,South Manchester Learning Trust,,,No,16.30%,24.40%,9,Good,,No,,,,,,,Some,Sports hall|Artificial grass pitch,Health and fitness suite|Grass pitches,,,,,,,,Reserve,,,,,,,,,,Yes,,,,,,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"YEAR 1 TERM 1 - NOT COMPLETED

",
Group,426,Altrincham Grammar School for Boys,,0,,6413,17/12/2020 12:12,17/12/2020 12:24,2020/2021,136458,Trafford,Secondary,Academy converter,Yes - Multi-academy trust,Hamblin Education Trust,,,Not applicable,1.70%,3.90%,10,,,No,,,,,,,Yes,Artificial grass pitch,,,,,,,,,Term 2,,,,,,,,,,Yes,,,,,,PSHE Hub|SE Secondary Teacher Training Programme,,,,,"YEAR 1 TERM 3 - NOT COMPLETED
Willing to be part of a case study upon completing AL/HSRS - nutrition, HSRS and Head are all involved/advocating for HSRS (Reserve sample/need to be opted in)
",
Group,554,Altrincham Grammar School for Girls,,0,,6414,17/12/2020 12:12,17/12/2020 12:24,2020/2021,137289,Trafford,Secondary,Academy converter,Yes - Multi-academy trust,Bright Futures Educational Trust,,,Not applicable,1.10%,2.50%,10,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,SE Secondary Teacher Training Programme|PSHE Hub,,,,,"YEAR 1 TERM 1 - Completed
Mental Health pilot phase 3

",
Group,1046,Altrincham Prep School,,0,,6415,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106379,Trafford,Primary,Other independent school,,,,,Yes,,,10,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Year 1 Term 3 - not completed

",
Group,1177,Aquinas College,,0,,6416,17/12/2020 12:12,17/12/2020 12:24,2020/2021,130514,Stockport,College,Further Education,,,,,Not applicable,,,5,Good,,No,,,,,,,No,,Artificial grass pitch|Health and fitness suite|Sports hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,225,Arden Primary,,0,,6417,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106100,Stockport,Primary,Community school,,,,,Yes,16.10%,22.30%,5,Good,,Yes,,,,,,,No,,Grass pitches|Artificial grass pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
y",
Group,275,Arlies Primary School,,0,,6418,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106190,Tameside,Primary,Community school,,,,,Yes,23.10%,32.60%,7,Good,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
",Council - Sport Development Service
Group,689,Armitage CE Primary School,,0,,6419,17/12/2020 12:12,17/12/2020 12:24,2020/2021,105502,Manchester,Primary,Voluntary controlled school,,,,,Yes,34.60%,46.00%,1,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"Opted in Active Lives CYP - Year 3 Term 1
",Private Coaching Company
Group,1175,Arnfield Independent School,,0,,6420,17/12/2020 12:12,17/12/2020 12:24,2020/2021,135187,Tameside,Secondary,Other independent special school,,,,,,,,5,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,991,Arundale Primary School,,0,,6421,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106184,Tameside,Primary,Community school,,,,,Yes,57.30%,60.40%,1,Good,,Yes,,,,,,,No,,Grass pitches|Sports hall,,,,,,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
",In house coach
Group,82,Ashbury Meadow Primary School,,0,,6422,17/12/2020 12:12,17/12/2020 12:24,2020/2021,133770,Manchester,Primary,Community school,,,,,Yes,25.30%,39.40%,2,Outstanding,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Healthy Schools,,,,,"
","Professional Sports Clubs, Trusts & Foundations|Private Coaching Company"
Group,946,Ashcroft School,,0,,6423,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106162,Stockport,SEND,Other independent special school,,,,,,,,8,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,849,Ashfield Valley Primary School,,0,,6424,17/12/2020 12:12,17/12/2020 12:24,2020/2021,105783,Rochdale,Primary,Community school,,,,,Yes,24.40%,21.70%,2,Good,,No,,,,,,,,,,,,,,,,,Term 2,,,,,,,,,,,,,,,,,,,,,"year 1 term 3 - not completed
New PE lead",
Group,690,Ashgate Specialist Support Primary School,,0,,6425,17/12/2020 12:12,17/12/2020 12:24,2020/2021,127802,Manchester,SEND,Community special school,,,,,Not applicable,58.50%,63.20%,1,Outstanding,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1176,Ashlea House School,,0,,6426,17/12/2020 12:12,17/12/2020 12:24,2020/2021,135975,Tameside,Secondary,Other independent school,,,,,No,,,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,1174,Ashton Sixth Form College,,0,,6427,17/12/2020 12:12,17/12/2020 12:24,2020/2021,146816,Tameside,College,Academy 16-19 converter,Yes - Multi-academy trust,Stamford Park Trust,,,Not applicable,,,5,Outstanding,,No,,,,,,,Some,Sports hall|Grass pitches,Artificial grass pitch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",
Group,992,Ashton West End Primary School and Early Years Centre,,0,,6428,17/12/2020 12:12,17/12/2020 12:24,2020/2021,141759,Tameside,Primary,Academy converter,Yes - Single-academy trust,Ashton West End Primary Academy,,,Yes,42.00%,51.50%,2,Good,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
new PE lead",In house coach
Group,327,Aspull Church Primary School,,0,,6429,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106518,Wigan,Primary,Voluntary aided school,,,,Aspull,No,13.40%,9.20%,7,Good,,Yes,,Yes,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
",Private Coaching Company
Group,1297,Ateres Elisheva,,0,,6430,17/12/2020 12:12,17/12/2020 12:24,2020/2021,147208,Salford,PRU/Other,Other independent school,,,,,Yes,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Opened: 21/08/2019,
Group,444,Atherton High School,,0,,6431,17/12/2020 12:12,17/12/2020 12:24,2020/2021,138233,Wigan,Secondary,Free School,Yes - Multi-academy trust,Chapel Street Community Schools Trust,,,No,27.00%,42.20%,2,Requires Improvement,,No,,,,,,,Some,Artificial grass pitch|Grass pitches,Sports hall,Out-sourced,SLS,,,,,,Term 1,,,,,,,,,,,,,,,,PSHE Hub,,,,,"Opt in 2020/21
",
Group,328,Atherton St George's CE Primary School,,0,,6432,17/12/2020 12:12,17/12/2020 12:24,2020/2021,144371,Wigan,Primary,Academy converter,Yes - Multi-academy trust,The Wings' CE Trust,,ATSA,Yes,32.80%,33.10%,1,Good,,Yes,,,,,,,No,,Grass pitches,,,,,,,,Reserve,,,,,,,,,,,,,,,,,,,,,"
No communication with SGO since starting in post","Leisure Provider|Professional Sports Clubs, Trusts & Foundations"
Group,993,Audenshaw Primary School,,0,,6433,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106203,Tameside,Primary,Community school,,,,,No,6.70%,7.90%,5,Good,,Yes,,Yes,Headteacher,Activity hall (multi-purpose room e.g. assembly hall),Playing field|Outdoor hard surface area e.g playground (no sport specific markings),,No,,,Managed in-house,,,Satisfactory - the facilities are generally sufficient to meet the needs of the schools and are fit-for-purpose. Some improvements or additions would be beneficial.,After school clubs|Breakfast clubs,Caretaker,,,,,,,,,,,,,,,,,,Young Ambassadors,,,,,"
",Other
Group,437,Audenshaw School,,0,,6434,17/12/2020 12:12,17/12/2020 12:24,2020/2021,136273,Tameside,Secondary,Academy converter,Yes - Single-academy trust,Audenshaw School Academy Trust,,,Not applicable,11.20%,22.50%,2,Good,,No,,,Other (please specify),Main sports hall (markings for at least 3 badminton courts)|Activity hall (multi-purpose room e.g. assembly hall)|Studio (often with mirrored wall and sprung floor)|Gym/health and fitness suite|Changing rooms accessible only via the school,Artificial pitch (3G) with floodlights|Playing field|Changing rooms accessible only via the school,,Yes,,Health and fitness suite|Artificial grass pitch|Grass pitches|Sports hall,Out-sourced (please specify provider),SLS,Evenings|Weekend|School Holidays,,After school clubs|Sports clubs|Regular bookings (block bookings),Trusted User,,Term 3,,,,,,,,,,,,,,,,,,,,,"YEAR 1 TERM 1 - NOT COMPLETED 

",
Group,691,Baguley Hall Primary School,,0,,6435,17/12/2020 12:12,17/12/2020 12:24,2020/2021,105485,Manchester,Primary,Foundation school,,,,,Yes,43.10%,52.70%,2,Good,,Yes,,,,,,,Yes,Sports hall,,,,,,,,,,,,,,,,,,,,,,,,,Change4Life|Healthy Schools|Change4Life,,,,,"
",
Group,161,Bamford Academy,,0,,6436,17/12/2020 12:12,17/12/2020 12:24,2020/2021,137471,Rochdale,Primary,Academy converter,Yes - Single-academy trust,Bamford Academy,,,No,11.60%,9.90%,8,Good,,Yes,,,,,,,No,,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
partly engaged",
Group,226,Banks Lane Infant,,0,,6437,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106027,Stockport,Infants,Community school,,,,,Yes,8.60%,10.70%,1,Outstanding,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leadership|PE Specialist Support|Assessment Support|Be Inspired Programme,,,,,"
n",
Group,947,Banks Lane Junior,,0,,6438,17/12/2020 12:12,17/12/2020 12:24,2020/2021,106028,Stockport,Primary,Community school,,,,,No,15.60%,19.90%,1,Good,,No,,,,,,,Yes,Grass pitches,,,,,,,,,,,,,,,,,,,,,,,,,Intervention programmes,,,,,"year 1 term 3 - not completed
n",
