name,hubClub_names,deliveryOrganisation_name,firstFundingYear_name,clubType_names,inclusiveFocussedClubType_names,postcode,sport_name,age_names,ladcua_name,currentStatus_name,latitude,longitude
Old Trafford Sports Barn,Stretford Cricket Club,,2014-15,No specific focus,,M16 9PQ,Cricket,15,Trafford,Sustained - Not funded,53.46089806,-2.270474415
Silver Blades,Silver blades Ice Rink,,2014-15,No specific focus,,WA15 8EW,Ice Skating,15,Trafford,Sustained - Not funded,53.38668397,-2.345549764
Priestnall High School Hockey Satellite Club,Heaton Moor Junior Hockey Club,,2014-15,No specific focus,,SK4 3HP,Hockey,11;12;13,Stockport,Sustained - Not funded,53.41754837,-2.198134996
All Saints Catholic college,Tameside Tycoons,,2014-15,Female focussed,,SK16 5AP,Dance,12;13;14;15;16,Tameside,Sustained - Not funded,53.47164386,-2.075892313
Alder Community High School,Manchester Giants,,2014-15,No specific focus,,SK14 5NJ,Basketball,11;12;13;14,Tameside,Sustained - Not funded,53.44052942,-2.063340412
Denton Community College,Manchester Giants,,2014-15,No specific focus,,M34 3NG,Basketball,11;12;13;14,Tameside,Sustained - Not funded,53.45840074,-2.121356795
Astley Sports College,Dukinfield Rugby Club,,2014-15,Male focussed,,SK16 5BL,Rugby Union,11;12;13;14;15,Tameside,Sustained - Not funded,53.46914852,-2.069755965
All Saints Catholic College,Dukinfield Rugby Club,,2014-15,Male focussed,,SK16 5AP,Rugby Union,11;12;13;14;15,Tameside,Sustained - Not funded,53.47164386,-2.075892313
Rumworth School,Sharples Wrestling Club,,2014-15,No specific focus,,BL3 4PT,Wrestling,11;12;13,Bolton,Sustained - Not funded,53.57345195,-2.478317886
St Catherine’s,Gymnastics Development Group,,2014-15,No specific focus,,BL2 4HU,Gymnastics,11;12;13,Bolton,Sustained - Not funded,53.59308993,-2.384674695
Chill Factore (Rumworth School),Chill Factore,,2014-15,Inclusive (disability) focussed,,M41 7JA,Snowsport,11;12;13,Trafford,Sustained - Not funded,53.46778141,-2.360068482
Castle Hill Community Centre,University of Bolton,,2014-15,No specific focus,,BL2 2JW,Boccia,11;12;13,Bolton,Sustained - Not funded,53.59425762,-2.411960043
St James,Gymnastics Development Group,,2014-15,No specific focus,,BL4 9RU,Gymnastics,11;12;13,Bolton,Sustained - Not funded,53.54511461,-2.416523828
Harper Green School,Harper Green School,,2014-15,No specific focus,,BL4 0DH,Table Tennis,14;15;16,Bolton,Temporarily inactive,53.55024003,-2.410913536
Johnson Fold HS,Bolton Arena,,2014-15,No specific focus,,BL1 5UG,Tennis,19;20;21,Bolton,Sustained - Not funded,53.59515148,-2.471762982
Parrswood Softball,Manchester Softball league,,2014-15,No specific focus,,M20 5PG,Baseball/Softball,11;12;13;14;15;16;17;18,Manchester,Sustained - Not funded,53.40840716,-2.218071799
Wright Robinson Basketball,Manchester Giants,,2014-15,No specific focus,,M18 8RL,Basketball,14;15;16,Manchester,Sustained - Not funded,53.46625047,-2.151238148
Abraham Moss Weightlifting,Team Manchester,,2014-15,No specific focus,,M8 5UF,Weightlifting,14;15;16,Manchester,Temporarily inactive,53.51216087,-2.234213296
Trinity Hockey,City of Manchester Hockey Club,,2014-15,No specific focus,,M15 6HP,Hockey,11;12;13;14;15;16,Manchester,Sustained - Not funded,53.46466223,-2.237808296
William Hulme Hockey,Sale Hockey Club,,2014-15,No specific focus,,M16 8PR,Hockey,11;12;13;14;15;16,Manchester,Sustained - Not funded,53.44554945,-2.247157822
Whalley Range Cricket,Whalley Range Cricket Club,,2014-15,No specific focus,,M15 5NN,Cricket,11;12;13,Manchester,Sustained - Not funded,53.46039342,-2.246084167
Tottington High School (Tottington St Johns Cricket Club - Cricket),Tottington Saint Johns Cricket Club,,2014-15,Female focussed,,BL8 3LY,Cricket,11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,Bury,Temporarily inactive,53.61265191,-2.336568115
Elmsbank Specialist Arts College (Bury FC The Trust - Disability Football),Bury FC - The Trust,,2014-15,Inclusive (disability) focussed,Non-specific,M45 8PJ,Football,12;13;14;15;16,Bury,Temporarily inactive,53.55761911,-2.288317212
Hathershaw College,Oldham Volleyball Club,,2014-15,Male focussed,,OL8 3EP,Volleyball,14;15;16;17;18;19;20,Oldham,Sustained - Not funded,53.52233553,-2.110436915
Oldham 6th Form College,Oldham Titans,,2014-15,Female focussed,,OL8 1XU,Basketball,11;12;13,Oldham,Sustained - Not funded,53.53841117,-2.117194093
Oldham Ball Hall,Oldham Titans,,2014-15,Male focussed,,OL8 3PT,Basketball,14;15;16;17;18;19;20,Oldham,Sustained - Not funded,53.51293995,-2.137951525
Saddleworth School,Oldham Lacrosse Club,,2014-15,Male focussed,,OL3 6BU,Lacrosse,17;18,Oldham,Temporarily inactive,53.55172793,-2.001962402
Newman RC College,Oldham Hockey Club,,2014-15,No specific focus,,OL9 9QY,Hockey,11;12;13,Oldham,Sustained - Funded,53.53882465,-2.149474498
New Bridge School,Marshall Fencing Club,,2014-15,Inclusive (disability) focussed,,OL8 3PH,Fencing,11;12;13,Oldham,Sustained - Not funded,53.51402034,-2.136507161
Robin Park Indoor Sports Centre (Hope School),SDU Disability Programme,,2014-15,Inclusive (disability) focussed,,WN5 0UH,Boccia,11;12;13;14;15;16;17;18;19,Wigan,Sustained - Not funded,53.54487485,-2.651431331
Ashton Leisure Centre (Cansfield HS),Wigan Back to Badminton Club,,2014-15,No specific focus,,WN4 9TP,Badminton,11;12;13;14;15;16;17;18,Wigan,Sustained - Not funded,53.49319314,-2.643222168
Wigan Hockey Club,Wigan Hockey Club,,2014-15,No specific focus,,WN6 0NX,Hockey,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.59246208,-2.671549461
Leigh Indoor Sports Centre (Fred Longworth HS),Tyldesley Netball Club,,2014-15,Female focussed,,WN7 4JY,Netball,11;12;13;14;15;16,Wigan,Sustained - Not funded,53.48921049,-2.529674119
Rose Bridge HS,Wigan Cosmos FC,,2015-16,No specific focus,,WN1 3HD,Football,11;12;13;14;15;16;17;18;19,Wigan,Sustained - Funded,53.54623055,-2.609114293
Trinity Basketball,Amaechi Basketball Centre,,2014-15,No specific focus,,M15 6HP,Basketball,14;15;16,Manchester,Sustained - Not funded,53.46466223,-2.237808296
Castlefield Boxing,The Peoples Gym,,2014-15,Inclusive (disability) focussed,,M15 5AL,Boxing,11;12;13;14;15;16;17;18,Manchester,Sustained - Not funded,53.46998426,-2.255134292
Southern Cross,The Peoples Gym,,2014-15,No specific focus,,M21 7JJ,Boxing,11;12;13;14;15;16,Manchester,Sustained - Not funded,53.4255805,-2.26535871
MCA Table Tennis,Our Lady's Table Tennis Club ,,2014-15,No specific focus,,M40 8NT,Table Tennis,14;15;16,Manchester,Sustained - Funded,53.50170175,-2.212489056
St Pauls Lacrosse,Timperley Lacrosse Club,,2014-15,No specific focus,,M23 2YS,Lacrosse,11;12;13;14;15;16,Manchester,Sustained - Not funded,53.38458642,-2.277809387
Co-op Badminton,Blackley Badminton Club,,2014-15,No specific focus,,M9 0WQ,Badminton,12;13;14;15;16,Manchester,Sustained - Not funded,53.52943669,-2.221046683
Oakwood Sports Club (You Can sports club),Oakwood sports club,,2014-15,Inclusive (disability) focussed,,M30 9DY,Football,14;15;16,Salford,Sustained - Not funded,53.49311595,-2.334625982
University of salford,farnworth table tennis club,,2014-15,No specific focus,,M5 4WT,Table Tennis,18;19;20;21;22;23,Salford,Sustained - Not funded,53.48323989,-2.269214888
Irlam FC,Irlam & cadishead College,,2014-15,Male focussed,,M44 5ZR,Football,16;17;18;19,Salford,Sustained - Not funded,53.4353054,-2.429750841
Bramhall Queensgate Tennis Satellite Club (Bramhall High School),Bramhall Queensgate Tennis Club,,2014-15,No specific focus,,SK7 1JT,Tennis,11;12;13,Stockport,Sustained - Not funded,53.35340113,-2.160274253
Kingsway High School Cricket Satellite Club,Cheadle Sports Club,,2014-15,Male focussed,,SK8 4QX,Cricket,11;12;13,Stockport,Sustained - Not funded,53.38671993,-2.225193753
"Jumpspace Trampolining, Rebound Therapy and Sensory (Heatons School)",Jump Space Ltd,,2014-15,Inclusive (disability) focussed,,SK3 0BJ,Gymnastics,11;12;13,Stockport,Sustained - Not funded,53.40741003,-2.167502859
Stockport Ladies Futsal Club (Stockport College),Stockport Futsal Club,,2014-15,Female focussed,,SK1 3UQ,Football,17;18;19;20;21;22;23;24,Stockport,Sustained - Not funded,53.40401656,-2.157515968
Houldsworth Village (Heatons School),Stockport County Community Foundation,,2014-15,Inclusive (disability) focussed,,SK5 7AT,Football,15;16,Stockport,Sustained - Funded,53.43417731,-2.163709174
Aquinas College Football,Stockport Georgians Football Club,,2014-15,Male focussed,,SK2 6TH,Football,16;17;18,Stockport,Sustained - Not funded,53.39594859,-2.14676249
Bramhall High School Hockey Satellite Club,Stockport Bramhall Hockey Club,,2014-15,No specific focus,,SK7 2JT,Hockey,15;16,Stockport,Sustained - Not funded,53.36682499,-2.151667364
Marple Hall Hockey Satellite Club,Stockport Bramhall Hockey Club,,2014-15,No specific focus,,SK6 6LB,Hockey,15;16,Stockport,Sustained - Not funded,53.39750829,-2.087086054
Kingsway Lacrosse satellite club,Cheadle Sports Club,,2014-15,No specific focus,,SK8 4QX,Lacrosse,11;12;13,Stockport,Sustained - Not funded,53.38671993,-2.225193753
Twisters Cheerleading Satellite Club (Marple Hall High School),Loud & Proud Cheerleading Club,,2014-15,Female focussed,,SK6 6LB,Dance,11;12;13,Stockport,Sustained - Not funded,53.39750829,-2.087086054
Aquinas College Table Tennis Club,Stockport Table Tennis Academy,,2014-15,No specific focus,,SK2 6TH,Table Tennis,16;17;18,Stockport,Sustained - Not funded,53.39594859,-2.14676249
Heaton Mersey Lacrosse Satellite Club (Priestnall High School),Heaton Mersey Lacrosse Club,,2014-15,No specific focus,,SK4 2NF,Lacrosse,11;12;13,Stockport,Sustained - Not funded,53.4157809,-2.178836222
Lancashire Lions VI Cricket,Lancashire Lions VICC,,2014-15,Inclusive (disability) focussed,,OL1 3SE,Cricket,11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26 and over,Oldham,Sustained - Not funded,53.54381436,-2.107006425
Cheetham Hill Cricket,Cheetham Hill Cricket Club,,2014-15,No specific focus,,M8 5UF,Cricket,11;12;13,Manchester,Sustained - Not funded,53.51216087,-2.234213296
Moorside High School,Monton Sports Club,,2014-15,No specific focus,,M27 0BH,Lacrosse,12;13;14;15;16,Salford,Sustained - Not funded,53.50766615,-2.345447243
oasis Media Academy,Manchester Giants,,2014-15,No specific focus,,M50 2EQ,Basketball,14;15;16,Salford,Sustained - Not funded,53.47385391,-2.296202186
The Radclyffe School,Oldham Table Tennis Club,,2014-15,No specific focus,,OL9 0LS,Table Tennis,11;12;13;14;15;16;17;18;19,Oldham,Temporarily inactive,53.54508685,-2.152183122
Cheadle Hulme High School Hockey Satellite Club,Stockport Bramhall Hockey Club,,2014-15,No specific focus,,SK8 7JY,Hockey,15;16,Stockport,Sustained - Not funded,53.36396404,-2.185111693
Wythenshawe SC,Wythenshawe SC,,2014-15,No specific focus,,M22 5RX,Swimming,11;12;13,Manchester,Sustained - Not funded,53.37966536,-2.263584763
St Ambrose School,Timperley Sports Club,,2015-16,Multisport,,WA15 0HE,Multisport,13,Trafford,Sustained - Not funded,53.37118797,-2.318908659
Blessed Thomas Holford School,Urmston Judo Club,,2015-16,No specific focus,,WA15 8EW,Judo,15,Trafford,Sustained - Not funded,53.38668397,-2.345549764
Wellington School,Timperley Amateur Boxing Club,,2015-16,No specific focus,,WA15 7RH,Boxing,15,Trafford,Sustained - Not funded,53.39240163,-2.332812884
Blessed Thomas Holford,Bowdon Bowling Tennis Club,,2015-16,No specific focus,,WA15 8HT,Tennis,15,Trafford,Sustained - Not funded,53.38588143,-2.340145074
St Josephs High School Bolton,Horwich Boxing Club,,2015-16,Multisport,,BL6 6AQ,Boxing,11;12;13;14;15;16,Bolton,Temporarily inactive,53.6006033,-2.534875117
Little Lever School,North West Warriors,,2015-16,Multisport,,BL3 1BW,Multisport,11;12;13;14;15;16,Bolton,Sustained - Not funded,53.56169653,-2.379799715
Westhoughton Leisure Centre (Westhoughton),Horwich Basketball Club,,2015-16,No specific focus,,BL5 3BZ,Basketball,14;15;16;17;18;19,Bolton,Temporarily inactive,53.5483869,-2.515680591
Turton School,Egerton Cricket Club,,2015-16,Multisport,,BL7 9LT,Cricket,11;12;13;14;15;16,Bolton,Temporarily inactive,53.61377586,-2.411288312
Thornleigh school,HUB CLUB IN DEVELOPMENT,,2015-16,Female focussed,,BL1 6PQ,Rounders,11;12;13;14;15;16,Bolton,Temporarily inactive,53.60111611,-2.44229836
Westhoughton High School,Westhoughton  Netball Club,,2015-16,Female focussed,,BL5 3BZ,Netball,11;12;13;14;15;16,Bolton,Temporarily inactive,53.5483869,-2.515680591
St Josephs High School Bolton,Bolton Outdoor Learning,,2015-16,No specific focus,,BL6 6HW,Canoeing,11;12;13;14;15;16,Bolton,Sustained - Not funded,53.5862552,-2.526988913
Darcy Lever Cricket Club (Little Lever),Bolton Sports Federation,,2015-16,Female focussed,,BL3 1SD,Rounders,11;12;13;14;15;16,Bolton,Sustained - Not funded,53.56741676,-2.400932079
Westhoughton High School,Horwich Leisure Centre,,2015-16,Female focussed,,BL5 3BZ,Gymnastics,14;15;16;17;18;19,Bolton,Sustained - Not funded,53.5483869,-2.515680591
"Leverhulme Community Centre (Rumworth, Birtenshaw)",HUB CLUB IN DEVELOPMENT,,2015-16,Inclusive (disability) focussed,,BL2 6EB,Cycling,14;15;16;17;18;19,Bolton,Sustained - Not funded,53.57946724,-2.391378645
Birtenshaw school,Diversity,,2015-16,Inclusive (disability) focussed,,BL7 9AB,Swimming,11;12;13;14,Bolton,Sustained - Not funded,53.61083568,-2.414086542
Hathershaw College,Werneth Golf Club,,2015-16,No specific focus,,OL8 3EP,Golf,11;12;13;14;15;16,Oldham,Sustained - Not funded,53.52233553,-2.110436915
The Radclyffe School,Oldham and Royton Harriers,,2015-16,No specific focus,,OL9 0LS,Athletics,11;12;13;14,Oldham,Sustained - Not funded,53.54508685,-2.152183122
Failsworth School,Failsworth Villa,,2015-16,Female focussed,,M35 9EA,Football,11;12;13;14;15;16,Oldham,Temporarily inactive,53.51311872,-2.146367687
Oldham College,Oldham Table Tennis Club,,2015-16,No specific focus,,OL9 6AA,Table Tennis,16;17;18;19;20,Oldham,Sustained - Not funded,53.5423832,-2.118502982
The Radclyffe School,Oldham Table Tennis Club,,2015-16,No specific focus,,OL9 0LS,Table Tennis,11;12;13;14;15;16;17;18;19,Oldham,Sustained - Not funded,53.54508685,-2.152183122
Failsworth School,Marshall Fencing Club,,2015-16,No specific focus,,M35 9EA,Fencing,11;12;13;14;15;16,Oldham,Sustained - Not funded,53.51311872,-2.146367687
Saddleworth School,Marshall Fencing Club,,2015-16,No specific focus,,OL3 6BU,Fencing,11;12;13;14;15;16,Oldham,Sustained - Not funded,53.55172793,-2.001962402
Kingsway Park High School,Rochdale Boccias,,2015-16,Inclusive (disability) focussed,,OL16 4XA,Boccia,11;12;13;14;15;16,Rochdale,Sustained - Not funded,53.6036887,-2.137128622
Hathershaw College,Heyside Football Club,,2015-16,Inclusive (disability) focussed,,OL2 7HS,Football,14;15;16,Oldham,Sustained - Not funded,53.581389,-2.108052972
Hathershaw College,Hathershaw,,2015-16,No specific focus,,OL8 3EP,Dodgeball,11;12;13;14;16,Oldham,Sustained - Not funded,53.52233553,-2.110436915
Newbridge School,Titanium North West,,2015-16,Inclusive (disability) focussed,,OL8 3PH,Martial Arts,11;12;13;14;15;16,Oldham,Sustained - Not funded,53.51402034,-2.136507161
Sale High School,Sale Cricket Club,,2015-16,No specific focus,,M33 3JR,Cricket,11;12;13;14,Trafford,Sustained - Not funded,53.4139385,-2.30330904
Denton Community College,Denton Netball Club,,2015-16,Female focussed,,M34 3NG,Netball,11;12;13;14,Tameside,Sustained - Not funded,53.45840074,-2.121356795
Fairfield High School,Curzon Ashton FC,,2015-16,Female focussed,,M43 6AB,Football,11;12;13;14,Tameside,Sustained - Not funded,53.47486415,-2.149867437
Droylsden Academy,Manchester Giants,,2015-16,No specific focus,,M43 6QD,Basketball,11;12;13,Tameside,Sustained - Not funded,53.48204834,-2.15566482
Tameside College,Manchester Giants,,2015-16,No specific focus,,OL6 6NX,Basketball,16;17;18;19,Tameside,Sustained - Not funded,53.48768789,-2.079312297
Droysden Academy,Aldwinians RUFC,,2015-16,Male focussed,,M43 6QD,Rugby Union,11;12;13;14,Tameside,Sustained - Not funded,53.48204834,-2.15566482
Heaton Hurricanes Dodgeball Club (Reddish Vale High School),Avondale Avalanche,,2015-16,No specific focus,,SK4 4RY,Dodgeball,11;12;13,Stockport,Sustained - Not funded,53.42280219,-2.184479228
Our Lady's High School Cheerleading,Manchester Diamonds,,2015-16,No specific focus,,M9 0RP,Dance,11;12;13;14,Manchester,Sustained - Not funded,53.53579929,-2.217186661
Manchester Communications Academy Cheerleading,Manchester Diamonds,,2015-16,No specific focus,,M40 8NT,Dance,11;12;13;14,Manchester,Sustained - Not funded,53.50170175,-2.212489056
Belle Vue Leisure Centre Cheerleading,Sporting Dynamite,,2015-16,No specific focus,,M12 4TF,Dance,11;12;13;14,Manchester,Sustained - Not funded,53.46003732,-2.189987911
Chorlton High School Girls Rugby,Broughton Park RFC,,2015-16,Female focussed,,M21 7SL,Rugby Union,11;12;13;14;15,Manchester,Temporarily inactive,53.43614716,-2.263602942
Stockport Town FC Satellite Club (Werneth High School),Stockport Town FC,,2015-16,No specific focus,,SK6 1QX,Football,13;14;15;16,Stockport,Sustained - Not funded,53.4286003,-2.102216387
Cheadle Cobras Dodgeball Club (Cheadle Hulme High School),Avondale Avalanche,,2015-16,No specific focus,,SK8 7JY,Dodgeball,11;12;13,Stockport,Sustained - Not funded,53.36396404,-2.185111693
Reddish Weight Lifting Satellite Club (Reddish Vale HS),Stockport Spartans Weight Lifting Club,,2015-16,No specific focus,,SK5 7AT,Weightlifting,11;12;13;14;15;16,Stockport,Sustained - Not funded,53.43417731,-2.163709174
Woodley Weight Lifting Satellite Club (Stockport College),Stockport Spartans Weight Lifting Club,,2015-16,No specific focus,,SK6 1QX,Weightlifting,16;17;18;19;20;21;22;23;24,Stockport,Sustained - Not funded,53.4286003,-2.102216387
