GroupID,Name,Postcode,URN
251,North Cheshire Jewish Primary,SK8 4RZ,106113
252,Oak Tree Primary School,SK8 5HH,106073
253,Our Ladys Catholic Primary,SK3 9HX,106114
254,Outwood Primary,SK8 3ND,106094
255,Penarth Group School,SK5 7JG,135526
256,Pownall Green Primary,SK7 2EB,106089
257,Prospect Vale Primary School,SK8 3RJ,106071
258,Romiley Primary,SK6 4NE,106075
259,Rose Hill Primary,SK6 6DW,106076
260,St Christophers Catholic Primary,SK6 3AX,106117
261,St Elisabeths CE Primary,SK5 6BL,147516
262,St Georges CE Primary,SK2 6NX,131306
263,St John's Church of England Primary,SK4 3DG,106105
264,St Marys Catholic Primary (Marple),SK6 5BR,146189
265,St Marys CE Primary,SK5 7DR,106106
266,St Mary's Roman Catholic Primary School Stockport,SK4 1RF,106124
267,St Peters Catholic Primary,SK7 5PL,106125
268,St Simons Catholic Primary,SK7 4LH,106127
269,St Thomas CE Primary Heaton Chapel,SK4 4QG,106128
270,St Winifreds RC Primary,SK4 3JH,106129
271,Thorn Grove Primary,SK8 7LD,106079
272,Vale View Primary,SK5 6TP,131083
273,Westmorland Primary,SK5 8HH,132121
274,Whitehill Primary,SK4 1PB,106084
275,Arlies Primary School,SK15 1HQ,106190
276,Canon Burrows Church of England Primary School,OL7 9ND,106249
277,Canon Johnson Church of England Primary School,OL7 9DD,146716
278,Fairfield Road Primary School,M43 6AF,106207
279,Gorse Hall Primary School,SK15 2DP,106188
280,Greenside Primary School and Children's Centre,M43 7RA,146480
281,Hawthorn,M34 5SF,140133
282,Holden Clough Community Primary School,OL6 8XN,106216
283,Inspire Academy,OL6 9RU,140427
284,Linden Road Primary School and Hearing Impaired Base,M34 6EF,141408
285,Manor Green Primary and Nursery School,M34 7NS,142286
286,Mottram CofE Primary School,SK14 6JL,106237
287,Our Lady of Mount Carmel Primary School,OL6 9JJ,131285
288,Pinfold Primary School,SK14 3NL,106181
289,Poplar Street Primary School,M34 5EF,145706
290,Russell Scott Primary School,M34 3LQ,106206
291,Silver Springs Primary Academy,SK15 1EA,137951
292,"St George's Church of England Primary School, Hyde",SK14 1JL,106236
293,St James' Church of England Primary School,OL6 9HU,147916
294,St John Fisher Roman Catholic Primary School,M34 7SW,106255
295,St Paul's Church of England Primary School Stalybridge,SK15 2PT,143551
296,Stalyhill Infant School,SK15 2TR,106222
297,Waterloo Primary School,OL7 9NA,144698
298,Abbotsford Preparatory school,M41 5PR,106386
299,Acre Hall Primary School,M41 6NA,138977
300,Bowdon CE Primary School,WA14 3EX,106338
301,Brentwood School,M33 4GY,106391
302,Davyhulme Primary School,M41 0RX,106316
303,Elmridge Primary School,WA15 0JF,138654
304,English Martyrs' RC Primary School,M41 5AH,106352
305,Gorse Hill Primary School,M32 0PF,106321
306,Heyes Lane Primary School,WA15 6BZ,106288
307,Kings Road Primary School,M16 0GR,106322
308,Kingsway Primary School,M41 0SP,106334
309,Lime Tree Primary Academy,M33 2RP,140877
310,Navigation Primary School,WA14 1NG,106283
311,Old Trafford Community School,M15 4FL,140738
312,Oldfield Brow Primary School,WA14 4LE,106284
313,Our Lady of Lourdes Catholic Primary School,M31 4PJ,106346
314,St Anne's CE Primary School,M33 3ES,106343
315,St Margaret Ward Catholic Primary School,M33 4GY,106359
316,St Mary's CE Primary School Davyhulme,M41 5TJ,106349
317,St Matthew's CofE Primary School,M32 9AN,106337
318,St Monica's RC Primary School,M41 6QB,106356
319,St Teresa's RC Primary School,M16 0GQ,106355
320,Urmston Primary School,M41 5AJ,106315
321,Well Green Primary School,WA15 8QA,106293
322,Willows Primary School,WA15 6PP,106294
323,Woodheys Primary School,M33 4PG,106299
324,Worthington Primary School,M33 2JJ,106300
325,Abram Bryn Gates Primary School,WN2 5JT,106414
326,All Saints Catholic Primary School Golborne,WA3 3LU,106505
327,Aspull Church Primary School,WN2 1QW,106518
328,Atherton St George's CE Primary School,M46 0HJ,144371
329,Beech Hill Community Primary School,WN6 7PT,106399
330,Britannia Bridge Primary School,WN3 4SD,106417
331,Canon Sharples CE Primary School  and Nursery,WN2 1BP,142028
332,Golborne Community Primary School,WA3 3NN,147101
333,Green Meadow Independent Primary School,WA3 2RD,135998
334,Hindsford CofE Primary School,M46 9BL,106441
335,"Holy Family Catholic Primary School, New Springs, Wigan",WN2 1HA,106491
336,Ince CE Primary School,WN2 2AW,106476
337,Leigh St Mary's CE Primary School,WN7 1YE,106516
338,Leigh St Peter's Primary School,WN7 4TP,135841
339,Lowton St Mary's CE Primary School,WA3 1EW,106486
340,Lowton West Primary School,WA3 2ED,106428
341,Marsh Green Primary School,WN5 0EF,106403
342,Meadowbank Primary School and Children's Centre,M46 0HX,106425
343,Orrell Lamberhead Green Academy,WN5 0AW,143388
344,Orrell Newfold Community Primary School,WN5 7BD,106412
345,Our Lady Immaculate Catholic Primary School,WN4 0LZ,106489
346,Our Lady's RC Primary School,WN2 1RU,106490
347,Parklee Community Primary School,M46 0AR,106426
348,RL Hughes Primary School,WN4 9QL,106424
349,Sacred Heart Catholic Primary School,WN6 7RF,106461
350,Shevington Vale Primary School,WN6 9JP,106429
351,St Catharine's CofE Primary School,WN1 3LP,106464
352,St David Haigh and Aspull CE Primary School,WN2 1PA,146511
353,St James' CE Primary School,WN3 5XE,145107
354,St John's CE Primary School Hindley Green,WN2 4SD,141644
355,St Jude's Catholic Primary School Wigan,WN3 5AN,130384
356,St Luke's CE Primary School,WA3 2PW,106485
357,St Marie's Catholic Primary School Standish,WN6 0LF,106493
358,St Mark's CE Primary School,WN5 9DS,144340
359,St Mary & St John Catholic Primary School,WN1 1XL,106459
360,St Michaels CE Primary School Howe Bridge,M46 0PA,106478
361,St Oswald's Catholic Primary School,WN4 9AZ,106488
362,St Wilfrid's Catholic Primary School Ashton,WN4 8SJ,106509
363,St William's Catholic Primary School,WN2 2DG,106497
364,Standish St Wilfrid's CE Primary Academy,WN6 0XB,139883
365,Westleigh St Paul's CE Primary School,WN7 5JN,106481
366,Wigan St Andrew's CE Junior and Infant School,WN6 7NB,106449
367,Worsley Mesnes Community Primary School,WN3 5HN,106404
368,Willow Grove Primary School,WN4 8XF,132155
369,Winstanley Community?Primary School,WN3 6JP,106407
370,Wood Fold Primary School,WN6 0TS,106427
371,Woodfield Primary School,WN1 2NT,106402
372,Bolton Muslim Girls School,BL3 6TQ,142340
373,Kearsley Academy,BL4 8HY,136135
374,Mount St Joseph Business and Enterprise College,BL4 0HU,105263
375,Bury Church of England High School,BL9 0TS,105365
376,Darul Uloom Al Arabiya Al Islamiya,BL8 4NG,105372
377,Manchester Mesivta School,M25 0PH,134195
378,Pennine House School,BL9 7TD,143646
379,The Heys School,M25 1JZ,147883
380,"St Monica's RC High School, a Voluntary Academy",M25 1JH,148050
381,Abbey College Manchester,M2 4WG,105601
382,Burnage Academy for Boys,M19 1ER,140703
383,Cedar Mount Academy,M18 7DT,138097
385,Dean Trust Ardwick,M13 0LF,141884
386,Eden Boys' Leadership Academy,M8 8BJ,144744
387,Eden Girl's Leadership Academy,M8 0SP,144745
388,Etz Chaim Boys School,M7 4LJ,131015
389,Kassim Darwish Grammar School for Boys,M16 8NH,131979
390,King David High School,M8 5DY,137309
391,King of Kings,M4 4DN,105596
392,Levenshulme High School,M19 1FS,141196
393,Loreto High School Chorlton,M21 7SW,105574
394,Manchester Grammar School,M13 0XT,105591
395,Manchester Islamic High School for Girls,M21 9FA,130318
397,Manchester Vocational and Learning Academy,M19 3AQ,142224
398,Sol Christian Academy,M12 6EL,139831
399,St Bede's College,M16 8HX,105594
400,The East Manchester Academy,M11 3DS,144494
402,Darul Hadis Latifah Northwest,OL8 1TJ,138568
403,Iqra High School,OL4 1ER,141087
404,Oldham Hulme Grammar School,OL8 4BX,105745
405,The Blue Coat CE School,OL1 3SQ,137133
406,Waterhead Academy,OL4 3NY,144508
407,Westwood High,OL9 6HR,137822
408,Cardinal Langley RC High School,M24 2GL,105844
409,Elizabeth House School,M24 4BD,145170
410,Middleton Technology School,M24 2GT,143319
411,Rochdale Islamic Academy,OL12 0HZ,134575
412,St Anne's Church of England Academy,M24 6XN,135313
413,Wardle Academy,OL12 9RD,140055
414,Ahavas Torah Boys Academy,M7 4QX,140036
415,Beis Yaakov High School ,M7 4FF,138698
416,Bnos Yisroel School Manchester (jewish boys),M7 4DA,105996
417,Bridgewater School,M28 2WQ,105992
418,Buile Hill Visual Arts College,M6 8RD,143059
419,Edstart,M6 6DW,137275
420,Covenant Christian School,SK4 4NX,106158
422,Harrytown Catholic High School,SK6 3BU,106143
423,Hazel Grove High School,SK7 5JX,137923
424,Hulme Hall Grammar School,SK3 8HA,106151
425,North West Priory School,SK8 3DG,142524
426,Altrincham Grammar School for Boys,WA14 2RS,136458
427,Lostock College,M32 9PL,106365
428,Westleigh High School,WN7 5NL,146087
430,Beis Hatalmud School,M7 2FD,135168
432,Beis Ruchel Girls School (jewish girls),M8 5BQ,130286
433,Ellesmere Park High School,M30 9BP,144200
434,Manchester Senior Girls School,M7 4GB,141968
436,Stockport Grammar School,SK2 7AF,106156
437,Audenshaw School,M34 5NB,136273
438,Laurus Ryecroft (New Sept 2018),M43 7LF,145894
439,Longdendale High School,SK14 8LW,144579
440,Broadoak School,M31 4BU,138124
441,Loreto Grammar School,WA14 4AH,138464
442,St Anthony's Catholic College,M41 9PD,148026
443,Stretford Grammar School,M32 8JB,106368
444,Atherton High School,M46 9JP,138233
445,Cansfield High School,WN4 9TP,106521
446,Fred Longworth High School,M29 8JN,137448
447,St John Fisher Catholic High School,WN6 7RN,106535
448,St Mary's Catholic High School,M29 7EE,106538
449,The Byrchall High School,WN4 9PQ,138699
450,The Deanery CE High School,WN1 1HQ,106534
451,Bolton School Boys Division,BL1 4PA,105271
452,Bolton St Catherine's Academy (Primary & Secondary),BL2 4HU,145314
453,Canon Slade CE Secondary School,BL2 3BP,144044
454,Eden Boys' School,BL1 3QE,140959
455,ESSA Academy,BL3 3HH,135770
456,Firwood School,BL2 4HU,146410
457,Harper Green School,BL4 0DH,143772
458,Ladybridge High School,BL3 4NG,134646
459,Little Lever School (Trust),BL3 1BT,142296
460,Rivington and Blackrod High School,BL6 7RU,143773
461,Rumworth School,BL3 4TP,105277
462,Sharples School,BL1 8SN,142232
463,Smithills School,BL1 6JS,140500
464,St James CE High School,BL4 9RU,144046
465,St Joseph's RC High School and Sports College,BL6 6HW,105262
466,Thornleigh Salesian College,BL1 6PQ,105264
467,Turton School,BL7 9LT,105253
468,Westhoughton High School,BL5 3DN,105252
469,Hazel Wood High School,BL9 7QT,146970
470,Bury Grammar School,BL9 0HH,105373
471,Unsworth Academy,BL9 8LP,143848
472,Parrenthorn High School,M25 2BW,105358
473,Philips High School,M45 7PH,105360
474,"St Gabriel's RC High School, a Voluntary Academy",BL9 0TZ,148049
475,The Derby High School,BL9 9NH,105355
476,The Elton High School,BL8 1RN,105354
477,Tottington High School,BL8 3LY,146529
478,Woodhey High School,BL0 9QZ,148097
480,Chorlton High School,M21 7SL,139148
481,Manchester Academy,M14 4PX,134224
482,Manchester Communication Academy,M40 8NT,136105
483,Co-op Academy North Manchester,M9 7SS,142762
484,Manchester Enterprise Academy,M22 9RH,135874
485,Manchester Health Academy,M23 9BP,135875
486,Manchester High School for Girls,M14 6HS,105592
487,Newall Green High School,M23 2SX,141392
488,Our Lady's RC High School,M9 0RP,105576
489,Parrs Wood High School,M20 5PG,143260
490,Saint Paul's Catholic High School,M23 2YS,139456
491,St Matthew's RC High School,M40 0EW,105577
492,St Peter's RC High School,M12 4WB,131880
493,The Barlow RC High School and Specialist Science College,M20 6BX,105581
494,Trinity CE High School,M15 6HP,137801
495,William Hulme Grammar School,M16 8PR,135296
496,Withington Girls' School,M14 6BL,105595
497,Wright Robinson College,M18 8RL,146239
498,Blessed John Henry Newman Roman Catholic College,OL9 9QY,136432
499,Crompton House Church of England School,OL2 7HS,137294
500,Hathershaw College,OL8 3EP,137039
501,Hollinwood Academy,OL8 3PT,140388
502,New Bridge School,OL8 3PH,138697
503,North Chadderton School,OL9 0BN,141248
504,Oasis Academy Oldham,OL8 4JZ,136027
505,E-ACT Royton and Crompton School,OL2 6NT,146316
506,Saddleworth School,OL3 6BU,105736
507,The Co-op Academy Failsworth,M35 9HA,144627
508,The Oldham Academy North,OL2 5BF,136115
509,The Radclyffe School,OL9 0LS,105738
510,Beech House School,OL11 4JQ,105855
511,Falinge Park High School,OL12 6LD,105837
512,Hollingworth Academy,OL16 3DR,140091
513,Holy Family RC and CE College,OL10 2AA,131726
514,Kingsway Park High School,OL16 4XA,135795
515,Matthew Moss High School,OL11 3LU,147369
516,Oulder Hill Community School and Language College,OL11 5EF,105840
517,Newhouse Academy,OL10 2NT,147875
518,St Cuthbert's RC High School,OL16 4RX,105845
519,Redwood School,OL11 5EW,135202
520,Harrop Fold School,M28 0SY,133351
521,Irlam and Cadishead College,M44 5ZR,142073
522,Moorside High School,M27 0AP,144199
523,Oasis Academy MediaCity UK,M50 3UQ,135661
524,Salford City Academy,M30 7PQ,135071
525,St Ambrose Barlow RC High School,M27 9QP,105989
526,St Patrick's RC High School and Arts College,M30 7JJ,105986
527,The Albion Academy,M6 6QT,146793
528,The Co-op Academy Swinton (The Swinton High 17),M27 6JU,136987
529,Co-op Academy Walkden,M28 7JB,146404
530,Bramhall High School,SK7 2JT,106139
531,Cheadle Hulme School,SK8 6EF,106157
532,Marple Hall School,SK6 6LB,106138
533,Priestnall School,SK4 3HP,106133
534,Reddish Vale Technology College,SK5 7HD,145133
535,"St Anne's Roman Catholic High School, A Voluntary Academy",SK4 2QP,147942
536,St James' Catholic High School,SK8 6PZ,106142
537,Stockport Academy,SK3 0UP,135262
538,Stockport School,SK2 6BW,106135
539,The Kingsway School,SK8 4QX,142509
540,Werneth School,SK6 3BX,106136
541,Alder Community High School,SK14 5NJ,134283
542,All Saints Catholic College,SK16 5AP,139735
543,Copley Academy,SK15 3RR,139294
544,Denton Community College,M34 3NG,135122
545,Droylsden Academy,M43 6QD,135864
546,Fairfield High School for Girls,M43 6AB,136593
547,Great Academy Ashton (New Charter Academy 2017),OL6 8RF,135508
548,Mossley Hollins High School,OL5 9DP,106266
549,Rayner Stephens High School (Astley Sports College 17),SK16 5BL,144622
550,St Damian's Roman Catholic College,OL6 8BH,106270
551,St Thomas More Roman Catholic College,M34 6AF,106271
552,West Hill School,SK15 1LX,137020
553,Altrincham College of the Arts,WA15 8QW,138614
554,Altrincham Grammar School for Girls,WA14 2NL,137289
555,Blessed Thomas Holford Catholic College,WA15 8HT,106376
556,Deans Trust Ashton,M33 5BP,138123
557,Flixton Girls High School,M41 5DR,136965
558,Sale Grammar School,M33 3NH,136498
559,Sale High School,M33 3JR,106375
560,Urmston Grammar School,M41 5UG,136297
561,Wellacre Academy,M41 6AP,136378
562,Manor Academy,M33 5JX,142288
563,Bedford High School,WN7 2LU,106523
564,Dean Trust Wigan (Abraham Guest Academy 17),WN5 0DQ,144519
565,Golborne High School,WA3 3EL,106525
566,Hawkley Hall High School,WN3 5NY,138110
567,Hindley High School,WN2 4LG,106528
568,Lowton CE High School,WA3 1DU,137783
569,Dean Trust Rose Bridge ,WN1 3HD,146797
570,Shevington High School,WN6 8AB,106529
